Portrait;Russian;English;Russian;English
0;Клаус;Klaus;Эй, Гехенд!;Hallo, Gehand
0;Клаус;Klaus;Ты хорошо отдохнул? Бабушка зовет тебя к нам в дом. Ты ведь хочешь есть как и все люди?  А, Гехенд?;You have well a rest? The grandmother calls you to us to the house. You after all want to eat as well as all people? And, Gekhend?
1;Геханд;Gehand;Да, Клаус. Как и все люди.;Yes, Claus. As well as all people.
1;Геханд;Gehand;Что за суета? Снова кто-то умер?;What for vanity? Again someone died?
0;Клаус;Klaus;Нет...;No...
0;Клаус;Klaus;Какой-то человек пришёл на рассвете.;Some person came at sunrise.
0;Клаус;Klaus;Прямо как ты, Гехенд!;Just like you, Gekhend!
2;Геханд;Gehand;И все решили, что нас много тут ходить начало в последнее время?;And all decided, what us the beginning is a lot of to go here recently?
0;Клаус;Klaus;Нет. Он говорит, что в Хельде собирают отряд.;No. He says that in Helda collect group.
1;Мысли;;Как будто это что-то изменит. Впрочем, интересно кого будет больше на этот раз. Отчаявшихся смертников или охочих до наживы смертников.;
0;Клаус;;Я жду тебя, Гехенд! ;
